x_m,y_m,z_m,depth_m,azn_deg,dip_deg,app_m,type
14.95486667,13.60575097,-5.335129187,20.91,256.94,63.22,0,2
14.96201869,13.61225778,-5.33768066,20.92,157.96,26.76,0,2
14.96917071,13.6187646,-5.340232132,20.93,246.58,66.46,0,2
14.98347474,13.63177823,-5.345335077,20.95,241.66,70.99,0,2
15.02638684,13.67081912,-5.360643913,21.01,261.65,75.83,0,1
15.06214692,13.7033532,-5.373401276,21.06,249.03,59.38,0,2
15.12651507,13.76191454,-5.396364529,21.15,270.43,66.85,0,2
15.1408191,13.77492817,-5.401467474,21.17,193.88,42.55,0,2
15.16227515,13.79444861,-5.409121892,21.2,263.4,71.06,0,2
15.1837312,13.81396906,-5.41677631,21.23,307.41,67.72,0,2
15.19088322,13.82047587,-5.419327783,21.24,262.73,65.53,0,2
15.21233927,13.83999632,-5.4269822,21.27,176.87,52.61,0,2
15.24094734,13.86602358,-5.437188091,21.31,308.22,64.75,0,2
15.24094734,13.86602358,-5.437188091,21.31,4.61,40.49,0,2
15.27670742,13.89855766,-5.449945454,21.36,230.31,53.83,0,2
15.34107557,13.957119,-5.472908707,21.45,28.81,44.16,0,2
15.34822758,13.96362581,-5.47546018,21.46,251.64,60.36,0,2
15.3553796,13.97013263,-5.478011652,21.47,301.89,70.38,0,2
15.38398767,13.99615989,-5.488217542,21.51,245.98,58.05,0,2
15.41974775,14.02869397,-5.500974905,21.56,241.92,43.13,0,2
15.42689977,14.03520078,-5.503526378,21.57,344.11,70.4,0,2
15.44835582,14.05472123,-5.511180796,21.6,189.45,21.96,0,2
15.47696388,14.08074849,-5.521386686,21.64,17.56,31.61,0,2
15.5699401,14.16533709,-5.55455583,21.77,250.49,56.02,0,2
15.62715623,14.21739161,-5.574967611,21.85,202.62,47.63,0,2
15.79880463,14.37355518,-5.636202953,22.09,304.61,67.5,0,2
15.79880463,14.37355518,-5.636202953,22.09,42.76,31.54,0,2
15.87747681,14.44513015,-5.664269151,22.2,353.37,66.91,0,2
15.99190908,14.5492392,-5.705092713,22.36,89.02,55.41,0,2
16.01336513,14.56875964,-5.71274713,22.39,5.74,65.38,0,2
16.14925344,14.69238914,-5.76122511,22.58,83.98,32.26,0,2
16.24938167,14.78348455,-5.796945726,22.72,186.4,13.86,0,2
16.30659781,14.83553907,-5.817357507,22.8,260.07,38.58,0,2
16.33520587,14.86156634,-5.827563397,22.84,45.3,46.44,0,2
16.34235789,14.86807315,-5.83011487,22.85,247.75,49.05,0,2
16.37811797,14.90060723,-5.842872233,22.9,277.77,55.04,0,2
16.41387805,14.93314131,-5.855629596,22.95,260.4,54.38,0,2
16.46394217,14.97868901,-5.873489904,23.02,200.07,47.69,0,2
16.49970225,15.01122309,-5.886247267,23.07,18.21,36.03,0,2
16.5211583,15.03074354,-5.893901684,23.1,105.14,51.86,0,2
16.53546234,15.04375717,-5.89900463,23.12,245.58,49,0,2
16.66419864,15.16087984,-5.944931136,23.3,345.31,67.76,0,2
16.7357188,15.225948,-5.970445862,23.4,36.8,36.25,0,2
16.87875913,15.35608431,-6.021475314,23.6,31.47,39.81,0,2
16.93597527,15.40813883,-6.041887095,23.68,355.93,40.9,0,2
17.02179946,15.48622061,-6.072504766,23.8,313.02,72.27,0,2
17.02895148,15.49272743,-6.075056238,23.81,336.44,76.17,0,2
17.35794424,15.79204094,-6.192423977,24.27,202.71,63.88,0,2
17.38655231,15.8180682,-6.202629868,24.31,349.68,65.08,0,2
17.40800836,15.83758864,-6.210284286,24.34,18.96,67.62,0,2
17.47237651,15.89614998,-6.233247539,24.43,342.94,68.03,0,2
17.67978499,16.08484763,-6.307240244,24.72,349.04,64.7,0,2
17.78706524,16.18244986,-6.345512333,24.87,95.44,69.34,0,2
17.87288944,16.26053164,-6.376130004,24.99,341.07,71.06,0,2
17.97301767,16.35162706,-6.41185062,25.13,343.34,71.89,0,2
17.98016969,16.35813387,-6.414402093,25.14,8.4,73.53,0,2
18.12321002,16.48827018,-6.465431545,25.34,343.75,65.95,0,2
18.36637858,16.7095019,-6.552181613,25.68,342.28,67.7,0,2
18.3735306,16.71600872,-6.554733085,25.69,233.76,80.22,0,2
18.45220278,16.78758369,-6.582799284,25.8,0.83,39.52,0,2
18.81695563,17.11943127,-6.712924386,26.31,165.65,45.13,0,2
18.94569192,17.23655395,-6.758850893,26.49,23.6,85.68,0,2
19.16025242,17.43175841,-6.83539507,26.79,357.8,67.19,0,2
19.68234963,17.90675594,-7.021652569,27.52,357.75,66.64,0,2
20.63356784,18.77216238,-7.360998424,28.85,59.65,81.08,0,1
20.68363195,18.81771009,-7.378858732,28.92,358,65.83,0,2
20.69793599,18.83072372,-7.383961677,28.94,40.07,51.43,0,2
20.7480001,18.87627143,-7.401821985,29.01,57.95,80.34,0,2
20.78376019,18.9088055,-7.414579348,29.06,50.3,50.91,0,2
20.78376019,18.9088055,-7.414579348,29.06,262.23,59.84,0,2
20.79806422,18.92181914,-7.419682294,29.08,273.44,59.75,0,2
20.86958439,18.98688729,-7.445197019,29.18,50.55,46.14,0,2
21.01262472,19.1170236,-7.496226471,29.38,351.59,70.71,0,2
21.16996908,19.26017354,-7.552358868,29.6,205.91,52.08,0,2
21.19857715,19.2862008,-7.562564759,29.64,19.1,85.61,0,2
21.3487695,19.42284392,-7.616145683,29.85,199.03,89.58,0,2
21.48465781,19.54647341,-7.664623662,30.04,350.37,68.93,0,2
21.52756991,19.5855143,-7.679932498,30.1,353.8,76.72,0,2
21.55617798,19.61154157,-7.690138388,30.14,24.85,28.66,0,2
21.67776226,19.72215743,-7.733513422,30.31,351.96,74.23,0,2
21.74213041,19.78071877,-7.756476676,30.4,358.33,68.5,0,2
21.74928242,19.78722558,-7.759028148,30.41,201.78,63.55,0,2
21.78504251,19.81975966,-7.771785511,30.46,353.48,78.26,0,2
21.84941066,19.878321,-7.794748764,30.55,347.64,72.93,0,2
21.97099494,19.98893686,-7.838123798,30.72,250.84,67.29,0,2
21.97814696,19.99544367,-7.840675271,30.73,350.16,70.73,0,2
22.02105905,20.03448457,-7.855984107,30.79,264.81,41.27,0,2
22.06397115,20.07352546,-7.871292942,30.85,260.32,80.93,0,2
22.2570756,20.24920947,-7.940182702,31.12,349.8,75.94,0,2
22.37150787,20.35331852,-7.981006264,31.28,89.95,79.39,0,2
22.42157198,20.39886623,-7.998866572,31.35,91.44,73.29,0,2
22.428724,20.40537304,-8.001418044,31.36,159.02,23.2,0,2
22.43587602,20.41187986,-8.003969517,31.37,12,60.4,0,2
22.54315627,20.50948209,-8.042241606,31.52,144.39,24.08,0,2
22.73626071,20.6851661,-8.111131366,31.79,196.1,45.77,0,2
22.76486878,20.71119337,-8.121337256,31.83,244.6,44.7,0,2
22.77917281,20.724207,-8.126440201,31.85,242.77,49.7,0,2
22.80062886,20.74372744,-8.134094619,31.88,246.84,51.79,0,2
22.85069298,20.78927515,-8.151954927,31.95,39.74,40.59,0,2
22.85069298,20.78927515,-8.151954927,31.95,248.56,57.02,0,2
22.92936516,20.86085012,-8.180021126,32.06,265.71,39.23,0,2
22.97942928,20.90639783,-8.197881434,32.13,353.34,38.5,0,2
22.98658129,20.91290464,-8.200432906,32.14,268.33,67.84,0,2
23.04379743,20.96495917,-8.220844687,32.22,264.46,47.76,0,2
23.22259784,21.12762955,-8.284631502,32.47,76.57,81.05,0,2
23.26550994,21.16667044,-8.299940337,32.53,268.36,78.09,0,2
23.27266196,21.17317726,-8.30249181,32.54,256.85,67.33,0,2
